,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Pts Won,Pts Max,Share,WS,WS/48,W,L,W/L%,GB,PS/G,PA/G,SRS,PTS_Scaled,TRB_Scaled,AST_Scaled,STL_Scaled,BLK_Scaled,FG%_Scaled,eFG%_Scaled,WS_Scaled,WS/48_Scaled
2065,Charles Barkley,28.0,Philadelphia 76ers,SF,75.0,75.0,38.4,8.3,15.0,0.552,0.4,1.8,0.234,7.9,13.2,0.597,0.567,6.1,8.7,0.695,3.6,7.5,11.1,4.1,1.8,0.6,3.1,2.6,23.1,1992,18.0,960.0,0.019,12.3,0.205,35,47,.427,16.0,101.9,103.2,-1.34,0.053076967156805724,1.0917824375383869,-0.4828541950450355,0.75465118165495,-0.3870788744918774,1.399576539039424,1.0786883421182234,0.423962736010091,0.1739656877323401
2066,Charles Barkley,29.0,Phoenix Suns,PF,76.0,76.0,37.6,9.4,18.1,0.52,0.9,2.9,0.305,8.5,15.2,0.561,0.545,5.9,7.7,0.765,3.1,9.1,12.2,5.1,1.6,1.0,3.1,2.6,25.6,1993,835.0,980.0,0.852,14.4,0.242,62,20,.756,—,113.4,106.7,6.27,0.5338037669437606,1.4276769884729388,-0.1101353605275138,0.3730244701030168,0.0672674652604646,0.6930697592223998,0.5575003114710044,1.055194774166623,0.942342512021757
2067,Charles Barkley,30.0,Phoenix Suns,PF,65.0,65.0,35.4,8.0,16.1,0.495,0.7,2.7,0.27,7.2,13.4,0.541,0.518,4.9,7.0,0.704,3.0,8.1,11.2,4.6,1.6,0.6,3.2,2.5,21.6,1994,5.0,1010.0,0.005,8.8,0.185,56,26,.683,7.0,108.2,103.4,4.68,-0.23535911271536722,1.1223183058051642,-0.29649477778627464,0.3730244701030168,-0.3870788744918774,0.14111133749034963,-0.08213954432331312,-0.6280906609174625,-0.24137313620788498
2068,Charles Barkley,31.0,Phoenix Suns,PF,68.0,66.0,35.0,8.1,16.8,0.486,1.1,3.2,0.338,7.1,13.6,0.521,0.518,5.6,7.5,0.748,3.0,8.1,11.1,4.1,1.6,0.7,2.2,3.0,23.0,1995,96.0,1050.0,0.091,10.6,0.214,59,23,.720,—,110.6,106.8,3.86,0.033847895165327255,1.0917824375383869,-0.4828541950450355,0.3730244701030168,-0.2734922895537919,-0.0575936943331884,-0.08213954432331312,-0.08703462821186385,0.3608681585054417
2069,Charles Barkley,32.0,Phoenix Suns,PF,71.0,71.0,37.1,8.2,16.3,0.5,0.7,2.5,0.28,7.5,13.9,0.539,0.521,6.2,8.0,0.777,3.4,8.1,11.6,3.7,1.6,0.8,3.1,2.9,23.2,1996,8.0,1130.0,0.007,10.5,0.191,41,41,.500,23.0,104.3,104.0,0.28,0.07230603914828351,1.2444617788722743,-0.631941728852044,0.3730244701030168,-0.15990570461570633,0.25150302183675965,-0.011068449235055613,-0.11709329669550812,-0.11677148902581728
2070,Charles Barkley,33.0,Houston Rockets,PF,53.0,53.0,37.9,6.3,13.1,0.484,1.1,3.9,0.283,5.2,9.2,0.569,0.526,5.4,7.8,0.694,4.0,9.5,13.5,4.7,1.3,0.5,2.8,2.9,19.2,1997,2.0,1150.0,0.002,9.4,0.224,57,25,.695,7.0,100.6,96.1,3.85,-0.6968568405108443,1.8246432759410458,-0.2592228943345223,-0.19941559722488325,-0.5006654594299629,-0.10175036807175242,0.10738337591204022,-0.44773865001559626,0.5685375704755545
2166,Chauncey Billups,29.0,Detroit Pistons,PG,81.0,81.0,36.1,5.2,12.5,0.418,2.3,5.2,0.433,3.0,7.2,0.407,0.509,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0,18.5,2006,430.0,1250.0,0.344,15.5,0.254,64,18,.780,—,96.8,90.2,6.24,-0.8314603444511915,-1.351087023803809,1.1943805602838122,-0.96266902032875,-0.9550117991823048,-1.5589206014443635,-0.2953528295880856,1.3858401274867111,1.1915458063858924
2167,Chauncey Billups,30.0,Detroit Pistons,PG,70.0,70.0,36.2,5.0,11.6,0.427,1.6,4.5,0.345,3.4,7.1,0.479,0.494,5.5,6.2,0.883,0.3,3.1,3.4,7.2,1.2,0.2,2.0,2.3,17.0,2007,4.0,1290.0,0.003,11.4,0.216,53,29,.646,—,96.0,91.8,3.69,-1.1198964243233644,-1.2594794190034766,0.672574191959282,-0.3902289530008501,-0.8414252142442193,-1.3602155696208253,-0.6507083050293732,0.15343471965729144,0.40240204089946424
2170,Chauncey Billups,33.0,Denver Nuggets,PG,73.0,73.0,34.1,5.5,13.2,0.418,2.2,5.6,0.386,3.4,7.6,0.441,0.499,6.4,7.0,0.91,0.3,2.8,3.1,5.6,1.1,0.1,2.4,2.1,19.5,2010,1.0,1230.0,0.001,9.5,0.182,53,29,.646,—,106.5,102.4,4.15,-0.6391696245364096,-1.351087023803809,0.07622405673124706,-0.5810423087768165,-0.9550117991823048,-1.5589206014443635,-0.5322564798822773,-0.41767998153195196,-0.3036739597989188
2219,Chris Bosh,22.0,Toronto Raptors,C,69.0,69.0,38.5,7.9,15.9,0.496,0.2,0.5,0.343,7.7,15.3,0.501,0.502,6.7,8.6,0.785,2.7,8.0,10.7,2.5,0.6,1.3,2.6,2.4,22.6,2007,43.0,1290.0,0.033,9.6,0.174,47,35,.573,—,99.5,98.5,0.61,-0.043068392800585255,0.969638964471277,-1.07920433027307,-1.53510908765665,0.40802722007472114,0.16318967435963164,-0.4611853847940198,-0.38762131304830766,-0.4698094893750091
2222,Chris Bosh,25.0,Toronto Raptors,C,70.0,70.0,36.1,8.6,16.5,0.518,0.1,0.3,0.364,8.5,16.2,0.521,0.522,6.7,8.4,0.797,2.9,7.9,10.8,2.4,0.6,1.0,2.4,2.4,24.0,2010,1.0,1230.0,0.001,9.6,0.182,40,42,.488,10.0,104.1,105.9,-1.83,0.2261386150801092,1.0001748327380549,-1.1164762137248223,-1.53510908765665,0.0672674652604646,0.6489130854838357,0.012621915794363555,-0.38762131304830766,-0.3036739597989188
2363,Chris Mullin,28.0,Golden State Warriors,SF,81.0,81.0,41.3,10.2,19.6,0.524,0.8,2.2,0.366,9.5,17.4,0.544,0.544,4.3,5.2,0.833,1.6,4.0,5.6,3.5,2.1,0.8,2.5,2.1,25.6,1992,81.0,960.0,0.084,10.8,0.155,55,27,.671,2.0,118.7,114.8,3.77,0.5338037669437606,-0.5876903171343728,-0.7064854957555484,1.3270912489828501,-0.15990570461570633,0.7813831066995278,0.5338099464415853,-0.026917291244574756,-0.864381372118223
2377,Chris Paul,22.0,New Orleans Hornets,PG,80.0,80.0,37.6,7.9,16.1,0.488,1.2,3.1,0.369,6.7,13.0,0.516,0.524,4.2,4.9,0.851,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1,2008,894.0,1260.0,0.71,17.8,0.284,56,26,.683,—,100.9,95.6,5.46,-0.3315044726727582,-1.0762642094028119,2.3125370638363774,2.4719713836386505,-0.9550117991823048,-0.013437020594624394,0.06000264585320189,2.077189502610532,1.8145540422962299
2378,Chris Paul,23.0,New Orleans Hornets,PG,78.0,78.0,38.5,8.1,16.1,0.503,0.8,2.3,0.364,7.3,13.8,0.525,0.528,5.8,6.7,0.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8,2009,192.0,1210.0,0.159,18.3,0.292,49,33,.598,5.0,95.8,94.3,1.41,-0.004610248817629,-0.6182261854011502,2.0889057631258643,2.6627847394146165,-0.9550117991823048,0.3177380324446057,0.15476410597087856,2.227482845028754,1.98068957187232
2380,Chris Paul,25.0,New Orleans Hornets,PG,80.0,80.0,36.0,5.4,11.6,0.463,0.9,2.3,0.388,4.5,9.3,0.482,0.502,4.2,4.8,0.878,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5,15.9,2011,2.0,1210.0,0.002,13.9,0.232,46,36,.561,15.0,94.9,94.0,1.28,-1.3314162162296246,-1.0457283411360345,1.6416431617048388,1.89953131631075,-0.9550117991823048,-0.5653954423266733,-0.4611853847940198,0.904901431748401,0.7346731000516448
2381,Chris Paul,26.0,Los Angeles Clippers,PG,60.0,60.0,36.4,7.1,14.8,0.478,1.3,3.6,0.371,5.8,11.3,0.511,0.522,4.3,5.0,0.861,0.7,2.9,3.6,9.1,2.5,0.1,2.1,2.3,19.8,2012,385.0,1210.0,0.318,12.7,0.278,40,26,.606,1.0,97.5,95.0,2.82,-0.5814824085619749,-1.1984076824699217,1.380739977542573,2.0903446720867165,-0.9550117991823048,-0.23422038928744443,0.012621915794363555,0.5441974099446681,1.6899523951141633
2382,Chris Paul,27.0,Los Angeles Clippers,PG,70.0,70.0,33.4,5.9,12.2,0.481,1.1,3.3,0.328,4.8,8.9,0.538,0.526,4.1,4.6,0.885,0.8,3.0,3.7,9.7,2.4,0.1,2.3,2.0,16.9,2013,289.0,1210.0,0.239,13.9,0.287,56,26,.683,—,101.1,94.6,6.43,-1.139125496314843,-1.1678718142031443,1.604371278253086,1.89953131631075,-0.9550117991823048,-0.16798537867959842,0.10738337591204022,0.904901431748401,1.8768548658872637
2383,Chris Paul,28.0,Los Angeles Clippers,PG,62.0,62.0,35.0,6.5,14.0,0.467,1.3,3.4,0.368,5.3,10.6,0.498,0.511,4.8,5.6,0.855,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5,19.1,2014,45.0,1250.0,0.036,12.2,0.27,57,25,.695,—,107.9,101.0,7.27,-0.7160859125023221,-0.9846566046024796,1.9770901127706078,2.0903446720867165,-0.9550117991823048,-0.4770820948495453,-0.2479720995292473,0.3939040675264462,1.523816865538073
2384,Chris Paul,29.0,Los Angeles Clippers,PG,82.0,82.0,34.8,6.9,14.3,0.485,1.7,4.3,0.398,5.2,10.0,0.523,0.545,3.5,3.9,0.9,0.6,4.0,4.6,10.2,1.9,0.2,2.3,2.5,19.1,2015,124.0,1300.0,0.095,16.1,0.27,56,26,.683,11.0,106.7,100.1,6.80,-0.7160859125023221,-0.8930489998021474,1.790730695511847,0.9454645374309165,-0.8414252142442193,-0.0796720312024704,0.5575003114710044,1.5661921383885777,1.523816865538073
2385,Chris Paul,30.0,Los Angeles Clippers,PG,74.0,74.0,32.7,7.0,15.1,0.462,1.6,4.4,0.371,5.3,10.6,0.501,0.517,4.0,4.4,0.896,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5,19.5,2016,107.0,1310.0,0.082,12.7,0.253,53,29,.646,20.0,104.5,100.2,4.13,-0.6391696245364096,-1.015192472869257,1.7161869286083429,1.3270912489828501,-0.8414252142442193,-0.5874737791959553,-0.10582990935273229,0.5441974099446681,1.170778865188881
2389,Chris Paul,34.0,Oklahoma City Thunder,PG,70.0,70.0,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.554,0.552,3.6,4.0,0.907,0.4,4.6,5.0,6.7,1.6,0.2,2.3,2.3,17.6,2020,26.0,1010.0,0.026,8.9,0.193,44,28,.611,1.5,110.4,108.4,2.33,-1.004521992374495,-0.7709055267350374,0.48621477470052116,0.3730244701030168,-0.8414252142442193,0.008641316274657612,0.7233328666769386,-0.5980319924338181,-0.07523760663179471
2390,Chris Paul,35.0,Phoenix Suns,PG,70.0,70.0,31.4,6.3,12.6,0.499,1.5,3.7,0.395,4.8,8.9,0.543,0.557,2.4,2.6,0.934,0.4,4.1,4.5,8.9,1.4,0.3,2.2,2.4,16.4,2021,139.0,1010.0,0.138,9.2,0.201,51,21,.708,—,115.3,109.5,5.67,-1.2352708562722339,-0.9235848680689247,1.306196210639069,-0.008602241448916846,-0.7278386293061337,0.22942468496747764,0.8417846918240345,-0.5078559869828854,0.09089792294429555
2391,Chris Paul,36.0,Phoenix Suns,PG,65.0,65.0,32.9,5.6,11.3,0.493,1.0,3.1,0.317,4.6,8.3,0.559,0.536,2.6,3.1,0.837,0.3,4.0,4.4,10.8,1.9,0.3,2.4,2.1,14.7,2022,2.0,1000.0,0.002,9.4,0.21,64,18,.780,—,114.8,107.3,6.94,-1.562165080127363,-0.954120736335702,2.0143619962223602,0.9454645374309165,-0.7278386293061337,0.09695466375178563,0.3442870262062319,-0.44773865001559626,0.2778003937173965
2420,Chris Webber,25.0,Sacramento Kings,PF,42.0,42.0,40.9,9.0,18.5,0.486,0.1,0.8,0.118,8.9,17.7,0.503,0.488,1.9,4.1,0.454,3.5,9.4,13.0,4.1,1.4,2.1,3.5,3.5,20.0,1999,51.0,1180.0,0.043,3.6,0.102,27,23,.540,8.0,100.2,100.6,-0.89,-0.5430242645790186,1.6719639346071586,-0.4828541950450355,-0.008602241448916846,1.3167198995794052,-0.0575936943331884,-0.7928504952058881,-2.1911414220669707,-1.96502925555982
2421,Chris Webber,26.0,Sacramento Kings,PF,75.0,75.0,38.4,10.0,20.6,0.483,0.4,1.3,0.284,9.6,19.4,0.496,0.492,4.1,5.5,0.751,2.5,8.0,10.5,4.6,1.6,1.7,2.9,3.5,24.5,2000,96.0,1210.0,0.079,10.7,0.179,44,38,.537,23.0,105.0,102.0,3.04,0.32228397503750017,0.9085672279377224,-0.29649477778627464,0.3730244701030168,0.862373559827063,-0.12382870494103441,-0.6980890350882115,-0.05697595972821957,-0.3659747833899527
2422,Chris Webber,27.0,Sacramento Kings,PF,70.0,70.0,40.5,11.2,23.4,0.481,0.0,0.4,0.071,11.2,23.0,0.488,0.481,4.6,6.6,0.703,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1,2001,521.0,1240.0,0.42,11.0,0.186,55,27,.671,1.0,101.7,95.9,6.07,0.8222398468159335,1.0917824375383869,-0.44558231159328315,-0.19941559722488325,0.862373559827063,-0.16798537867959842,-0.9586830504118223,0.033200045722713796,-0.2206061950108737
2423,Chris Webber,28.0,Sacramento Kings,PF,54.0,54.0,38.4,9.9,19.9,0.495,0.1,0.4,0.263,9.8,19.6,0.499,0.497,4.7,6.3,0.749,2.8,7.3,10.1,4.8,1.7,1.4,2.9,3.4,24.5,2002,37.0,1260.0,0.029,8.6,0.2,61,21,.744,—,104.6,97.0,7.61,0.32228397503750017,0.7864237548706124,-0.22195101088277025,0.5638378258789832,0.5216138050128065,0.14111133749034963,-0.5796372099411157,-0.6882079978847515,0.07013098174728427
2424,Chris Webber,29.0,Sacramento Kings,PF,67.0,67.0,39.1,9.9,21.4,0.461,0.1,0.3,0.238,9.8,21.1,0.465,0.463,3.2,5.3,0.607,2.4,8.1,10.5,5.4,1.6,1.3,3.2,3.0,23.0,2003,19.0,1190.0,0.016,6.9,0.127,59,23,.720,—,101.7,95.2,6.68,0.033847895165327255,0.9085672279377224,0.0016802898277429876,0.3730244701030168,0.40802722007472114,-0.6095521160652373,-1.385109620941366,-1.1992053621067058,-1.4458557256345383
3087,Danny Manning,25.0,Los Angeles Clippers,PF,82.0,82.0,35.4,7.9,14.6,0.542,0.0,0.1,0.0,7.9,14.6,0.544,0.542,3.4,4.7,0.725,2.8,4.1,6.9,3.5,1.6,1.5,2.6,3.6,19.3,1992,1.0,960.0,0.001,9.8,0.162,45,37,.549,12.0,102.9,101.9,1.10,-0.6776277685193658,-0.19072402966626578,-0.7064854957555484,0.3730244701030168,0.6352003899508921,1.178793170346604,0.48642921638274694,-0.3275039760810186,-0.7190127837391439
3193,Darrell Armstrong,30.0,Orlando Magic,PG,50.0,15.0,30.0,4.6,10.4,0.441,1.4,3.8,0.365,3.2,6.7,0.483,0.507,3.2,3.6,0.904,1.1,2.5,3.6,6.7,2.2,0.1,3.2,1.8,13.8,1999,2.0,1180.0,0.002,6.4,0.205,33,17,.660,—,89.5,86.9,3.11,-1.7352267280506666,-1.1984076824699217,0.48621477470052116,1.517904604758817,-0.9550117991823048,-1.0511188534508773,-0.342733559646924,-1.3494987045249278,0.1739656877323401
3194,Darrell Armstrong,31.0,Orlando Magic,PG,82.0,82.0,31.6,5.9,13.6,0.433,1.7,4.9,0.34,4.2,8.7,0.485,0.494,2.7,3.0,0.911,0.8,2.5,3.3,6.1,2.1,0.1,3.0,1.7,16.2,2000,1.0,1210.0,0.001,8.0,0.149,41,41,.500,11.0,100.1,99.4,0.43,-1.2737290002551902,-1.2900152872702542,0.2625834739900079,1.3270912489828501,-0.9550117991823048,-1.2277455484051334,-0.6507083050293732,-0.8685600087866178,-0.9889830193002906
3289,David Lee,29.0,Golden State Warriors,PF,79.0,79.0,36.8,7.6,14.7,0.519,0.0,0.1,0.0,7.6,14.6,0.521,0.519,3.2,4.1,0.797,2.8,8.5,11.2,3.5,0.8,0.3,2.6,3.1,18.5,2013,1.0,1210.0,0.001,9.1,0.15,47,35,.573,9.0,101.2,100.3,1.32,-0.8314603444511915,1.1223183058051642,-0.7064854957555484,-1.1534823761047166,-0.7278386293061337,0.6709914223531177,-0.05844917929389395,-0.5379146554665296,-0.9682160781032794
3301,David Robinson,25.0,San Antonio Spurs,C,82.0,81.0,37.7,9.2,16.7,0.552,0.0,0.1,0.143,9.2,16.6,0.554,0.552,7.2,9.5,0.762,4.1,8.9,13.0,2.5,1.5,3.9,3.3,3.2,25.6,1991,476.0,960.0,0.496,17.0,0.264,55,27,.671,—,107.1,102.6,4.30,0.5338037669437606,1.6719639346071586,-1.07920433027307,0.18221111432705,3.361278428464944,1.399576539039424,0.7233328666769386,1.8367201547413767,1.3992152183560054
3302,David Robinson,26.0,San Antonio Spurs,C,68.0,68.0,37.7,8.7,15.8,0.551,0.0,0.1,0.125,8.7,15.7,0.554,0.552,5.8,8.3,0.701,3.8,8.4,12.2,2.7,2.3,4.5,2.7,3.2,23.2,1992,337.0,960.0,0.351,13.9,0.26,47,35,.573,8.0,104.0,100.6,2.81,0.07230603914828351,1.4276769884729388,-1.0046605633695658,1.708717960534783,4.0427979380934564,1.3774982021701418,0.7233328666769386,0.904901431748401,1.3161474535679603
3303,David Robinson,27.0,San Antonio Spurs,C,82.0,82.0,39.2,8.2,16.4,0.501,0.0,0.2,0.176,8.2,16.2,0.506,0.503,6.8,9.3,0.732,2.8,8.9,11.7,3.7,1.5,3.2,2.9,2.9,23.4,1993,33.0,980.0,0.034,13.2,0.197,49,33,.598,6.0,105.5,102.8,2.21,0.11076418313123976,1.2749976471390516,-0.631941728852044,0.18221111432705,2.5661723338983458,0.27358135870604167,-0.43749501976460065,0.69449075236289,0.00783015815625042
3304,David Robinson,28.0,San Antonio Spurs,C,80.0,80.0,40.5,10.5,20.7,0.507,0.1,0.4,0.345,10.4,20.4,0.51,0.51,8.7,11.6,0.749,3.0,7.7,10.7,4.8,1.7,3.3,3.2,2.9,29.8,1994,730.0,1010.0,0.723,20.0,0.296,55,27,.671,3.0,100.0,94.8,5.05,1.3414247905858447,0.969638964471277,-0.22195101088277025,0.5638378258789832,2.6797589188364306,0.4060513799217337,-0.27166246455866644,2.7384802092507083,2.063757336660365
3305,David Robinson,29.0,San Antonio Spurs,C,81.0,81.0,38.0,9.7,18.4,0.53,0.1,0.2,0.3,9.7,18.1,0.533,0.532,8.1,10.5,0.774,2.9,7.9,10.8,2.9,1.7,3.2,2.9,2.8,27.6,1995,901.0,1050.0,0.858,17.5,0.273,62,20,.756,—,106.6,100.6,5.90,0.9183852067733245,1.0001748327380549,-0.9301167964660615,0.5638378258789832,2.5661723338983458,0.9138531279152198,0.24952556608855522,1.9870134971595987,1.586117689129107
3306,David Robinson,30.0,San Antonio Spurs,C,82.0,82.0,36.8,8.7,16.8,0.516,0.0,0.1,0.333,8.6,16.7,0.517,0.517,7.6,10.0,0.761,3.9,8.3,12.2,3.0,1.4,3.3,2.3,3.2,25.0,1996,574.0,1130.0,0.508,18.3,0.29,59,23,.720,—,103.4,97.1,5.98,0.41842933499489116,1.4276769884729388,-0.8928449130143092,-0.008602241448916846,2.6797589188364306,0.6047564117452717,-0.10582990935273229,2.227482845028754,1.9391556894782975
3308,David Robinson,32.0,San Antonio Spurs,C,73.0,73.0,33.7,7.5,14.6,0.511,0.0,0.1,0.25,7.4,14.5,0.512,0.511,6.6,9.0,0.735,3.3,7.3,10.6,2.7,0.9,2.6,2.8,2.8,21.6,1998,36.0,1160.0,0.031,13.8,0.269,56,26,.683,6.0,92.5,88.5,3.30,-0.23535911271536722,0.9391030962044996,-1.0046605633695658,-0.96266902032875,1.8846528242698326,0.4943647273988617,-0.2479720995292473,0.8748427632647567,1.5030499243410618
3309,David Robinson,33.0,San Antonio Spurs,C,49.0,49.0,31.7,5.5,10.8,0.509,0.0,0.0,0.0,5.5,10.7,0.51,0.509,4.9,7.4,0.658,3.0,7.0,10.0,2.1,1.4,2.4,2.2,2.9,15.8,1999,6.0,1180.0,0.005,8.4,0.261,37,13,.740,—,92.8,84.7,7.12,-1.3506452882211026,0.7558878866038351,-1.2282918640800788,-0.008602241448916846,1.6574796543936614,0.4502080536602977,-0.2953528295880856,-0.7483253348520401,1.3369143947649715
3311,David Robinson,35.0,San Antonio Spurs,C,80.0,80.0,29.6,5.0,10.3,0.486,0.0,0.0,0.0,5.0,10.3,0.487,0.486,4.4,5.9,0.747,2.6,6.0,8.6,1.5,1.0,2.5,1.5,2.7,14.4,2001,8.0,1240.0,0.006,12.1,0.246,58,24,.707,—,96.2,88.4,7.92,-1.6198522961017974,0.3283857308689507,-1.451923164790592,-0.7718556645527833,1.771066239331747,-0.0575936943331884,-0.8402312252647265,0.3638453990428019,1.0254102768098021
3381,De'Aaron Fox,25.0,Sacramento Kings,PG,73.0,73.0,33.4,9.3,18.2,0.512,1.6,5.0,0.324,7.7,13.2,0.584,0.557,4.7,6.0,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25.0,2023,2.0,1000.0,0.002,7.4,0.146,48,34,.585,—,120.7,118.1,2.30,0.41842933499489116,-1.015192472869257,0.2625834739900079,-0.5810423087768165,-0.7278386293061337,0.5164430642681437,0.8417846918240345,-1.048912019688484,-1.0512838428913245
3436,DeMar DeRozan,27.0,Toronto Raptors,SG,74.0,74.0,35.4,9.7,20.9,0.467,0.4,1.7,0.266,9.3,19.2,0.484,0.477,7.4,8.7,0.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,2017,1.0,1010.0,0.001,9.0,0.166,51,31,.622,2.0,106.9,102.6,3.65,0.8606979907988898,-0.7098337902014825,-0.5573979619485397,-0.5810423087768165,-0.8414252142442193,-0.4770820948495453,-1.053444510529499,-0.5679733239501739,-0.6359450189510988
3437,DeMar DeRozan,28.0,Toronto Raptors,SG,80.0,80.0,33.9,8.1,17.7,0.456,1.1,3.6,0.31,7.0,14.1,0.494,0.488,5.8,7.0,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23.0,2018,32.0,1010.0,0.032,9.6,0.17,59,23,.720,—,111.7,103.9,7.29,0.033847895165327255,-1.1068000776695894,-0.07286347707576142,-0.5810423087768165,-0.7278386293061337,-0.7199438004116473,-0.7928504952058881,-0.38762131304830766,-0.5528772541630537
3441,DeMar DeRozan,32.0,Chicago Bulls,PF,76.0,76.0,36.1,10.2,20.2,0.504,0.7,1.9,0.352,9.5,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9,2022,1.0,1000.0,0.001,8.8,0.154,46,36,.561,5.0,111.6,112.0,-0.38,0.9760724227477585,-0.7098337902014825,-0.1846791274310179,-0.96266902032875,-0.7278386293061337,0.3398163693138877,-0.011068449235055613,-0.6280906609174625,-0.8851483133152342
3573,Dennis Rodman,30.0,Detroit Pistons,PF,82.0,80.0,40.3,4.2,7.7,0.539,0.4,1.2,0.317,3.8,6.5,0.581,0.564,1.0,1.7,0.6,6.4,12.3,18.7,2.3,0.8,0.9,1.7,3.0,9.8,1992,26.0,960.0,0.027,12.6,0.183,48,34,.585,19.0,98.9,96.9,2.06,-2.5043896077097942,3.4125084258134732,-1.1537480971765746,-1.1534823761047166,-0.046319119677620854,1.112558159738758,1.007617247029966,0.5141387414610238,-0.28290701860190753
3575,Dennis Rodman,32.0,San Antonio Spurs,PF,79.0,51.0,37.8,2.0,3.7,0.534,0.1,0.3,0.208,1.9,3.4,0.563,0.543,0.7,1.3,0.52,5.7,11.6,17.3,2.3,0.7,0.4,1.7,2.9,4.7,1994,1.0,1010.0,0.001,8.7,0.14,55,27,.671,3.0,100.0,94.8,5.05,-3.4850722792751827,2.985006270078589,-1.1537480971765746,-1.3442957318806834,-0.6142520443680484,1.0021664753923478,0.5101195814121661,-0.6581493294011073,-1.1758854900733917
3576,Dennis Rodman,33.0,San Antonio Spurs,PF,49.0,26.0,32.0,2.8,4.9,0.571,0.0,0.0,0.0,2.8,4.9,0.576,0.571,1.5,2.3,0.676,5.6,11.2,16.8,2.0,0.6,0.5,2.0,3.2,7.1,1995,9.0,1050.0,0.009,5.8,0.178,62,20,.756,—,106.6,100.6,5.90,-3.023574551479706,2.8323269287447017,-1.265563747531831,-1.53510908765665,-0.5006654594299629,1.8190649395557796,1.1734498022359001,-1.5298507154267942,-0.386741724586964
3577,Dennis Rodman,34.0,Chicago Bulls,PF,64.0,57.0,32.6,2.3,4.8,0.48,0.0,0.4,0.111,2.2,4.3,0.516,0.485,0.9,1.7,0.528,5.6,9.3,14.9,2.5,0.6,0.4,2.2,3.1,5.5,1996,4.0,1130.0,0.004,6.2,0.143,72,10,.878,—,105.2,92.9,11.80,-3.331239703343357,2.25214543167593,-1.07920433027307,-1.53510908765665,-0.6142520443680484,-0.19006371554888044,-0.8639215902941456,-1.4096160414922165,-1.1135846664823583
3671,Deron Williams,23.0,Utah Jazz,PG,82.0,82.0,37.3,6.9,13.6,0.507,1.0,2.6,0.395,5.9,11.1,0.533,0.544,4.0,5.0,0.803,0.4,2.5,3.0,10.5,1.1,0.3,3.4,2.4,18.8,2008,4.0,1260.0,0.003,11.3,0.177,54,28,.659,—,106.2,99.3,6.86,-0.7737731284767568,-1.3816228920705864,1.9025463458671037,-0.5810423087768165,-0.7278386293061337,0.4060513799217337,0.5338099464415853,0.12337605117364717,-0.40750866578397527
3673,Deron Williams,25.0,Utah Jazz,PG,76.0,76.0,36.9,6.5,13.9,0.469,1.3,3.4,0.371,5.2,10.4,0.501,0.515,4.4,5.5,0.801,0.7,3.3,4.0,10.5,1.3,0.2,3.3,2.7,18.7,2010,7.0,1230.0,0.006,10.3,0.177,53,29,.646,—,104.2,98.9,5.33,-0.7930022004682353,-1.0762642094028119,1.9025463458671037,-0.19941559722488325,-0.8414252142442193,-0.4329254211109825,-0.15321063941157062,-0.17721063366279668,-0.40750866578397527
3740,Derrick Rose,22.0,Chicago Bulls,PG,81.0,81.0,37.4,8.8,19.7,0.445,1.6,4.8,0.332,7.2,15.0,0.481,0.485,5.9,6.9,0.858,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,2011,1182.0,1210.0,0.977,13.1,0.208,62,20,.756,—,98.6,91.3,6.53,0.41842933499489116,-1.0457283411360345,0.8589336092180428,-0.7718556645527833,-0.3870788744918774,-0.9628055059737494,-0.8639215902941456,0.6644320838792458,0.23626651132337398
3741,Derrick Rose,23.0,Chicago Bulls,PG,39.0,39.0,35.3,7.7,17.8,0.435,1.4,4.4,0.312,6.4,13.4,0.475,0.473,5.0,6.1,0.812,0.7,2.7,3.4,7.9,0.9,0.7,3.1,1.3,21.8,2012,5.0,1210.0,0.004,6.0,0.211,50,16,.758,—,96.3,88.2,7.43,-0.19690096873241095,-1.2594794190034766,0.9334773761215474,-0.96266902032875,-0.2734922895537919,-1.1835888746665695,-1.1482059706471757,-1.4697333784595055,0.29856733491440784
